"species","family","rec_gbif"
"Xiphorhynchus ocellatus","Furnariidae",73
"Myiozetetes cayanensis","Tyrannidae",73
"Manacus manacus","Pipridae",72
"Cotinga cayana","Cotingidae",72
"Buteo albonotatus","Accipitridae",72
"Campephilus rubricollis","Picidae",71
"Thamnomanes ardesiacus","Thamnophilidae",71
"Myrmoborus lugubris","Thamnophilidae",71
"Lampropsar tanagrinus","Icteridae",70
"Aramus guarauna","Aramidae",70
"Empidonomus aurantioatrocristatus","Tyrannidae",70
"Eucometis penicillata","Thraupidae",69
"Aburria cumanensis","Cracidae",69
"Saltator grossus","Cardinalidae",66
"Campylopterus largipennis","Trochilidae",66
"Psarocolius bifasciatus","Icteridae",66
"Monasa morphoeus","Bucconidae",66
"Tangara velia","Thraupidae",65
"Pipra filicauda","Pipridae",63
"Dendrocygna autumnalis","Anatidae",63
"Tachyphonus surinamus","Thraupidae",62
"Pachyramphus marginatus","Cotingidae",62
"Chordeiles rupestris","Caprimulgidae",62
"Dacnis cayana","Thraupidae",61
"Cnemotriccus fuscatus","Tyrannidae",60
"Veniliornis affinis","Picidae",60
"Phaethornis atrimentalis","Trochilidae",60
"Empidonomus varius","Tyrannidae",60
"Turdus albicollis","Turdidae",60
"Myrmothera campanisona","Grallariidae",60
"Geotrygon montana","Columbidae",59
"Pteroglossus azara","Ramphastidae",59
"Trogon rufus","Trogonidae",58
"Momotus momota","Momotidae",58
"Piculus flavigula","Picidae",58
"Aramides cajanea","Rallidae",57
"Hydropsalis climacocerca","Caprimulgidae",56
"Sarcoramphus papa","Cathartidae",56
"Myiopagis gaimardii","Tyrannidae",56
"Panyptila cayennensis","Apodidae",55
"Ornithion inerme","Tyrannidae",54
"Buteo nitidus","Accipitridae",54
"Myrmotherula menetriesii","Thamnophilidae",52
"Furnarius torridus","Furnariidae",52
"Laterallus exilis","Rallidae",51
"Phoenicircus nigricollis","Cotingidae",51
"Chondrohierax uncinatus","Accipitridae",51
"Turdus lawrencii","Turdidae",51
"Harpagus bidentatus","Accipitridae",50
"Myrmotherula multostriata","Thamnophilidae",49
"Thamnophilus amazonicus","Thamnophilidae",48
"Cyphorhinus arada","Troglodytidae",47
"Sittasomus griseicapillus","Furnariidae",47
"Chrysuronia oenone","Trochilidae",47
"Pachyramphus minor","Cotingidae",47
"Laniocera hypopyrra","Cotingidae",46
"Rhytipterna simplex","Tyrannidae",46
"Corythopis torquatus","Tyrannidae",45
"Forpus modestus","Psittacidae",45
"Chlorophanes spiza","Thraupidae",44
"Porphyrio flavirostris","Rallidae",44
"Nothocrax urumutum","Cracidae",43
"Calidris melanotos","Scolopacidae",43
"Serpophaga hypoleuca","Tyrannidae",42
"Terenotriccus erythrurus","Tyrannidae",42
"Psophia crepitans","Psophiidae",42
"Tachyphonus cristatus","Thraupidae",42
"Myrmeciza hyperythra","Thamnophilidae",41
"Pithys albifrons","Thamnophilidae",41
"Knipolegus poecilocercus","Tyrannidae",41
"Caracara plancus","Falconidae",40
"Berlepschia rikeri","Furnariidae",39
"Pharomachrus pavoninus","Trogonidae",38
"Schiffornis turdina","Cotingidae",38
"Metopothrix aurantiaca","Furnariidae",38
"Myiornis ecaudatus","Tyrannidae",38
"Mycteria americana","Ciconiidae",37
"Eubucco richardsoni","Capitonidae",37
"Cochlearius cochlearius","Ardeidae",37
"Hylophylax naevius","Thamnophilidae",37
"Conopophaga aurita","Conopophagidae",37
"Megastictus margaritatus","Thamnophilidae",37
"Pygiptila stellaris","Thamnophilidae",37
"Bucco macrodactylus","Bucconidae",37
"Psarocolius viridis","Icteridae",36
"Xiphocolaptes promeropirhynchus","Furnariidae",36
"Lepidocolaptes duidae","Furnariidae",36
"Certhiaxis cinnamomeus","Furnariidae",36
"Ara chloropterus","Psittacidae",35
"Bucco capensis","Bucconidae",35
"Buteo brachyurus","Accipitridae",35
"Athene cunicularia","Strigidae",35
"Formicarius colma","Formicariidae",34
"Dendroplex kienerii","Furnariidae",34
"Conopias albovittatus","Tyrannidae",33
