"scientific","rec_gbif"
"Lutzomyia aragaoi (Lima, 1932)",9
"Odontomachus meinerti Forel, 1905",9
"Anoplotermes meridianus Emerson, 1925",9
"Aturbina Lugo-Ortiz & McCafferty, 1996",9
"Pheidole biconstricta Mayr, 1870",8
"Dorymyrmex Mayr, 1866",8
"Hydrotaea aenescens (Wiedemann, 1830)",8
"Pheidole cataphracta",8
"Culex Linnaeus, 1758",8
"Sericomyrmex opacus Mayr, 1865",8
"Dichotomius Hope, 1838",8
"Strumigenys Smith, 1860",8
"Tricorythodes Ulmer, 1920",8
"Artemita argentea Osten Sacken, 1886",8
"Megalomyrmex pacova Brandao, 1990",8
"Pinophilus Gravenhorst, 1802",8
"Dilobopterus frenatus (Taschenberg, 1884)",8
"Acromyrmex nobilis Santschi, 1939",8
"Crematogaster sotobosque Longino, 2003",8
"Myrmosicarius Borgmeier, 1928",8
"Farrodes Peters, 1971",8
"Fannia pusio (Wiedemann, 1830)",8
"Parajalysus andinus Horvath, 1905",8
"Mazia amazonica (Bates, 1864)",8
"Berosus Leach, 1817",8
"Rogeria lirata Kugler, 1994",8
"BOLD:AAX7638",8
"Passalus epiphanoides Kuwert, 1891",8
"Dohrniphora atrilinea Brown & Kung, 2010",8
"Linepithema Mayr, 1866",8
"Dohrniphora bicostula Kung & Brown, 2005",8
"Peckia chrysostoma (Wiedemann, 1830)",8
"Peckia collusor (Curran & Walley, 1934)",8
"Apobaetis Day, 1955",8
"Coleoptera",8
"Jakrama taeniata Young Jr., 1977",8
"Ephuta depressa Mickel, 1952",8
"Erythrodiplax unimaculata Degeer, 1773",8
"Trichacis Förster, 1856",8
"Eurysternus confusus Jessop, 1985",8
"Daceton boltoni Azorsa & Sosa-Calvo",8
"Chromoteleia fuscicornis Kieffer, 1910",8
"Melaloncha Brues, 1904",8
"Hydrotaea Robineau-Desvoidy, 1830",8
"Dryas iulia (Fabricius, 1775)",8
"Hepialidae",8
"Cephalotes Latreille, 1802",8
"Acrididae",8
"Fidiobia Ashmead, 1894",7
"Myriophora lucigaster (Borgmeier, 1961)",7
"Daceton Perty, 1833",7
"Acanthinomyia elongata (Wiedemann, 1824)",7
"Caenis Stephens, 1835",7
"Elmas lescheni Ashe & Chatzimanolis, 2003",7
"Blepharidatta brasiliensis Wheeler, 1915",7
"Rogeria micromma Kempf, 1961",7
"Belonuchus Nordmann, 1837",7
"Morpho achilles (Linnaeus, 1758)",7
"Neocapritermes Holmgren, 1912",7
"Rustitermes boteroi Constantini, Castro & Scheffrahn, 2020",7
"Baetidae",7
"Sceliomorpha rufithorax Kieffer, 1910",7
"Pheidole rugiceps",7
"Pheidole perdiligens Wilson, 2003",7
"Pheidole pepo Wilson, 2003",7
"Apocephalus neivai Borgmeier, 1931",7
"Cerambycidae",7
"Ceratobaeus Ashmead, 1893",7
"Sericomyrmex parvulus Forel, 1912",7
"Pheidole flavens Roger, 1863",7
